heldout_cell,level0_exact_file_duplicate,level1_structure_equivalent,same_comp_box_local_candidates,parent_frame,membership_proven
cell_ho_02,NONE,NONE,NONE,/home/hyunjin/CLADE/SiO2-x_distillatio/materials-ml-kit/research-sio2-allegro-simplenn-distillation/production_12288/random_sweep/x006/prod.dump#frame20,NO
cell_ho_03,NONE,NONE,NONE,/home/hyunjin/CLADE/SiO2-x_distillatio/materials-ml-kit/research-sio2-allegro-simplenn-distillation/production_12288/random_sweep/x015/prod.dump#frame20,NO
cell_ho_04,NONE,NONE,NONE,/home/hyunjin/CLADE/SiO2-x_distillatio/materials-ml-kit/research-sio2-allegro-simplenn-distillation/production_12288/anneal_calib_clustered/T1000/prod.dump#frame20,NO
cell_ho_05,NONE,NONE,NONE,/home/hyunjin/CLADE/SiO2-x_distillatio/materials-ml-kit/research-sio2-allegro-simplenn-distillation/production_12288/anneal_calib_clustered/T1000/prod.dump#frame30,NO
cell_ho_06,NONE,NONE,NONE,/home/hyunjin/CLADE/SiO2-x_distillatio/materials-ml-kit/research-sio2-allegro-simplenn-distillation/production_12288/anneal_calib_clustered/plane_T1000/prod.dump#frame20,NO
cell_ho_07,NONE,NONE,NONE,/home/hyunjin/CLADE/SiO2-x_distillatio/materials-ml-kit/research-sio2-allegro-simplenn-distillation/production_12288/anneal_calib_clustered/plane_T1000/prod.dump#frame30,NO
