cell_id,distribution,x_label,center_cn,center_species,n_atoms,n_core,local_x,in_training_domain,erra_core_teacher_vs_dft,errd_core_v5_vs_dft,errb_core_v5_vs_teacher,erra_global,errd_global,errb_global,u_alpha_center,u_alpha_core_mean,errc_original_vs_dft,delta_errc_v5_minus_original,dft_toten_eV,dft_E_per_atom_eV,dft_energy_source,phys_band_ok,errb_lt_erra,attribution,finite_ok
cell_ho_02,random,x006,3,Si,67,36,-0.0227,UNKNOWN (leakage REVISE),0.295599,0.373534,0.204593,0.308345,0.363939,0.176298,0.403738,0.150385,,,-658.13900061,-9.823,OUTCAR.scan,True,True,MIXED,True
cell_ho_03,random,x015,1,Si,73,43,0.04,UNKNOWN (leakage REVISE),0.298085,0.316875,0.15973,0.261746,0.278495,0.158584,0.198433,0.138845,,,-725.44065273,-9.9375,OUTCAR.scan,True,True,TEACHER_LIMITED,True
cell_ho_04,clustered,sphere_T1000,0,Si,49,30,0.4792,UNKNOWN (leakage REVISE),0.428406,0.411562,0.255446,0.418623,0.379557,0.245373,0.161922,0.160876,,,-472.61488627,-9.6452,OUTCAR.scan,True,True,TEACHER_LIMITED,True
cell_ho_05,clustered,sphere_T1000,1,Si,49,28,0.5926,UNKNOWN (leakage REVISE),0.357396,0.343075,0.215318,0.344652,0.35375,0.214827,0.167503,0.1677,,,-470.34119385,-9.5988,OUTCAR.scan,True,True,TEACHER_LIMITED,True
cell_ho_06,clustered,plane_T1000,0,Si,63,33,0.375,UNKNOWN (leakage REVISE),0.391581,0.436473,0.255089,0.334205,0.372366,0.23984,0.1289,0.182251,,,-607.21061508,-9.6383,OUTCAR.scan,True,True,MIXED,True
cell_ho_07,clustered,plane_T1000,1,Si,52,33,0.4167,UNKNOWN (leakage REVISE),0.346831,0.366086,0.204604,0.329595,0.340739,0.197287,0.236329,0.193539,,,-500.40966625,-9.6233,OUTCAR.scan,True,True,TEACHER_LIMITED,True
